"","month","agebin","densitybin","fraction_infected_bin","count","num_in_group","freq_frac_infect","site"
"409",1,80,500,0,4,4,1,"dapelogo_2007"
"410",1,80,500,5,0,4,0,"dapelogo_2007"
"411",1,80,500,20,0,4,0,"dapelogo_2007"
"412",1,80,500,50,0,4,0,"dapelogo_2007"
"413",1,80,500,80,0,4,0,"dapelogo_2007"
"414",1,80,500,100,0,4,0,"dapelogo_2007"
"415",1,80,5000,0,0,0,NA,"dapelogo_2007"
"416",1,80,5000,5,0,0,NA,"dapelogo_2007"
"417",1,80,5000,20,0,0,NA,"dapelogo_2007"
"418",1,80,5000,50,0,0,NA,"dapelogo_2007"
"419",1,80,5000,80,0,0,NA,"dapelogo_2007"
"420",1,80,5000,100,0,0,NA,"dapelogo_2007"
"421",1,80,50000,0,0,0,NA,"dapelogo_2007"
"422",1,80,50000,5,0,0,NA,"dapelogo_2007"
"423",1,80,50000,20,0,0,NA,"dapelogo_2007"
"424",1,80,50000,50,0,0,NA,"dapelogo_2007"
"425",1,80,50000,80,0,0,NA,"dapelogo_2007"
"426",1,80,50000,100,0,0,NA,"dapelogo_2007"
"427",1,80,5e+05,0,0,0,NA,"dapelogo_2007"
"428",1,80,5e+05,5,0,0,NA,"dapelogo_2007"
"429",1,80,5e+05,20,0,0,NA,"dapelogo_2007"
"430",1,80,5e+05,50,0,0,NA,"dapelogo_2007"
"431",1,80,5e+05,80,0,0,NA,"dapelogo_2007"
"432",1,80,5e+05,100,0,0,NA,"dapelogo_2007"
